life_expectancy,gdp_per_capita,health_expenditure
81.9585365853658,49099.7090423358,10.56814575
74.463,2322.89053964583,8.97882748
60.398,609.745147574878,4.34980488
54.079,2899.16047470324,4.21020174
74.4248780487805,7606.2375253797,7.42164755
82.509756097561,109269.520580298,7.90873051
77.911,23223.5829405935,3.06614041
67.417,1538.3228133171,2.90354776
68.922,13729.7602761496,14.87842083
79.324,17378.6070017557,9.04578876
65.274,3102.28968594061,2.61463141
72.319,6205.62595379319,7.73537827
76.834,7350.63034300417,6.0974617
69.472,3548.06930572116,5.15588379
77.1560975609756,18891.2121169279,6.46619797
81.6317073170732,24620.5197587181,10.5492239
81.857,88701.4689763536,2.18613315
75.1536585365854,15503.551804598,5.79823256
72.5456097560976,15619.6142578125,6.8788662
67.528,975.469323735369,5.92842579
71.55,4132.44717734444,6.93412352
85.708,54190.8417700372,7.22336292
69.237,2389.73729784737,5.7744813
67.788,1574.0281059306,4.0444808
75.2365853658537,10024.8191112596,8.58397198
74.509756097561,16836.6721895387,4.39909697
61.275,860.371067916096,4.80377436
82.8951219512195,90299.0694637269,4.33121586
76.9658536585366,21317.7943982363,7.70245218
81.2829268292683,28360.3041467268,9.62683296
70.409,1877.78104490956,4.82418394
53.931,573.141165798229,2.8469162
83.1341463414634,30319.4987196616,9.6799593
77.3,3342.63650253855,3.98300457
70.313,21011.5744209816,5.52634287
72.67,13103.8243147472,4.74750614
71.191,9693.55867833025,4.6054697
65.695,1046.24084472656,3.79416442
73.254,6084.43876736445,5.93297768
83.0585365853659,54836.8907235124,10.85505676
83.6048780487805,94394.5106803525,11.59911823
71.562,1052.17949484894,7.62917423
66.879,1207.52062988281,3.13497496
75.291,6909.35281815827,5.35471153
67.368,2343.24954740187,7.46371841
62.292,951.232378690387,6.24094057
72.635,5298.01941509951,7.95276737
76.05,3707.29283414381,7.51270723
77.591,10897.8397861365,3.70338893
69.913,5837.84224538947,5.37103748
66.852,5911.32727055301,21.28792
67.675,963.067314117178,4.45071125
81.0112195121951,47057.043229179,11.09679794
76.468,20818.6146091144,8.89015961
72.147,2578.66689394219,6.61703825
71.302,3370.21191956953,4.05895281
72.566,3155.04207099687,4.55045986
74.502,4147.69777213621,4.53809595
76.662,3799.95527015163,9.70613861
65.279,1447.12310138035,5.21042967
62.36,2536.40050223076,3.39519501
