country_code,country,year,life_expectancy,gdp_per_capita,health_expenditure
ESP,Spain,2022,83.1341463414634,30319.4987196616,9.6799593
LKA,Sri Lanka,2022,77.3,3342.63650253855,3.98300457
KNA,St. Kitts and Nevis,2022,70.313,21011.5744209816,5.52634287
LCA,St. Lucia,2022,72.67,13103.8243147472,4.74750614
VCT,St. Vincent and the Grenadines,2022,71.191,9693.55867833025,4.6054697
SDN,Sudan,2022,65.695,1046.24084472656,3.79416442
SUR,Suriname,2022,73.254,6084.43876736445,5.93297768
SWE,Sweden,2022,83.0585365853659,54836.8907235124,10.85505676
CHE,Switzerland,2022,83.6048780487805,94394.5106803525,11.59911823
TJK,Tajikistan,2022,71.562,1052.17949484894,7.62917423
TZA,Tanzania,2022,66.879,1207.52062988281,3.13497496
THA,Thailand,2022,75.291,6909.35281815827,5.35471153
TLS,Timor-Leste,2022,67.368,2343.24954740187,7.46371841
TGO,Togo,2022,62.292,951.232378690387,6.24094057
TON,Tonga,2022,72.635,5298.01941509951,7.95276737
TUN,Tunisia,2022,76.05,3707.29283414381,7.51270723
TUR,Turkiye,2022,77.591,10897.8397861365,3.70338893
TKM,Turkmenistan,2022,69.913,5837.84224538947,5.37103748
TCA,Turks and Caicos Islands,2022,77.918,31280.5418020808,
TUV,Tuvalu,2022,66.852,5911.32727055301,21.28792
UGA,Uganda,2022,67.675,963.067314117178,4.45071125
UKR,Ukraine,2022,72.658,4199.6708984375,
GBR,United Kingdom,2022,81.0112195121951,47057.043229179,11.09679794
URY,Uruguay,2022,76.468,20818.6146091144,8.89015961
UZB,Uzbekistan,2022,72.147,2578.66689394219,6.61703825
VUT,Vanuatu,2022,71.302,3370.21191956953,4.05895281
VEN,"Venezuela, RB",2022,72.566,3155.04207099687,4.55045986
VNM,Viet Nam,2022,74.502,4147.69777213621,4.53809595
VIR,Virgin Islands (U.S.),2022,80.319512195122,44320.909185774,
PSE,West Bank and Gaza,2022,76.662,3799.95527015163,9.70613861
ZMB,Zambia,2022,65.279,1447.12310138035,5.21042967
ZWE,Zimbabwe,2022,62.36,2536.40050223076,3.39519501
