country_code,country,life_expectancy,gdp_per_capita,health_expenditure,obesity,smoking,air_pollution
KIR,Kiribati,66.269,2069.7671726925,10.52553844,46.303168,39.7,11.2568272545112
KOR,"Korea, Rep.",82.6804878048781,34822.4048404971,8.8595314,7.3305406,20.0,25.9439899531653
KWT,Kuwait,80.5878048780488,39981.7691035833,4.20024538,41.416967,19.9,53.7151434413218
KGZ,Kyrgyz Republic,72.0487804878049,1739.72018344174,5.04874945,26.599699,27.3,24.3817252281764
LAO,Lao PDR,68.715,2046.40440255621,2.01825476,8.0098711,27.2,22.3176670505669
LVA,Latvia,74.2780487804878,20221.103686109,8.1044302,24.272498,33.9,11.6020322023647
LBN,Lebanon,78.003,3654.35845534878,4.91255951,29.781556,34.3,19.2310172881236
LSO,Lesotho,56.812,1030.12582947757,12.89569187,20.998225,24.3,23.4391013240086
LBR,Liberia,61.934,744.617175237387,13.58819675,17.013773,8.2,42.3616590279287
LTU,Lithuania,75.6439024390244,25085.784063499,7.24367952,25.355321,31.4,9.21893860360944
LUX,Luxembourg,82.9463414634147,123719.658915996,5.60926914,18.434404,23.0,8.67476189540246
MDG,Madagascar,63.068,503.51453347296,3.14948058,4.2625114,26.8,12.7535199510191
MWI,Malawi,66.037,604.269740360317,6.62527609,7.7355236,9.7,23.6983194353464
MYS,Malaysia,75.444,11754.5678336248,3.90037823,22.095373,22.0,16.1938532237922
MDV,Maldives,80.76,11786.0191492983,7.4997015,17.297679,26.3,12.0123911668511
MLI,Mali,60.035,976.914116406452,3.72170115,11.372638,8.0,56.7830489222988
MLT,Malta,82.2975609756098,35638.8869457406,9.09105396,32.287985,24.7,11.7226648774147
MHL,Marshall Islands,66.725,6455.66062185762,13.60796833,45.903134,29.8,10.7256194470999
MRT,Mauritania,68.281,1960.35240077424,4.66962671,22.687952,9.5,70.8224442103687
MUS,Mauritius,73.5146341463415,10246.5017455553,5.84209728,19.228634,20.9,9.15296880580014
MEX,Mexico,73.973,11405.7940473759,5.70919704,36.029914,14.9,14.9923440243315
MDA,Moldova,71.546,5744.29618434435,6.96505404,22.970207,29.7,14.7583463021422
MNG,Mongolia,71.9007317073171,4993.51487463495,8.85170174,24.108742,29.5,29.6547866481682
MNE,Montenegro,76.1878048780488,10024.5435616209,10.19081783,17.995875,32.0,17.9824100566499
MAR,Morocco,75.161,3463.1376953125,5.75281,21.784347,13.0,21.3212642117301
MMR,Myanmar,66.506,1158.05005055976,4.49158478,7.4263416,44.4,32.3150340028667
NAM,Namibia,64.19,4349.79908493314,9.6219883,16.965204,14.1,19.9945355710926
NRU,Nauru,61.93,12911.9086441381,18.34229279,69.918603,48.3,6.06435493209495
NPL,Nepal,70.087,1385.91066274851,6.52950287,6.989485,28.3,45.7207706412594
NLD,Netherlands,81.6146341463415,59123.318556487,10.03109169,14.541821,21.3,10.8892498470498
NZL,New Zealand,81.9585365853658,49099.7090423358,10.56814575,33.621314,12.2,6.48591499675774
NER,Niger,60.398,609.745147574878,4.34980488,5.9746772,7.7,85.1223455605238
NGA,Nigeria,54.079,2899.16047470324,4.21020174,12.356206,3.3,56.5313287289257
NOR,Norway,82.509756097561,109269.520580298,7.90873051,19.146442,14.2,6.05589724673443
OMN,Oman,77.911,23223.5829405935,3.06614041,31.095415,8.4,39.5835768902765
PAK,Pakistan,67.417,1538.3228133171,2.90354776,23.006499,18.9,42.9981734249878
PLW,Palau,68.922,13729.7602761496,14.87842083,41.141659,17.3,7.32770979431049
PAN,Panama,79.324,17378.6070017557,9.04578876,36.07102,5.2,11.4700607490209
PNG,Papua New Guinea,65.274,3102.28968594061,2.61463141,20.517364,39.6,17.3105425567239
PRY,Paraguay,72.319,6205.62595379319,7.73537827,32.959187,10.7,10.0891599097852
PER,Peru,76.834,7350.63034300417,6.0974617,27.288428,7.1,27.0356284968814
PHL,Philippines,69.472,3548.06930572116,5.15588379,8.7417305,20.4,20.2887417122616
POL,Poland,77.1560975609756,18891.2121169279,6.46619797,27.499697,23.6,17.9583314936851
PRT,Portugal,81.6317073170732,24620.5197587181,10.5492239,21.791112,25.6,8.45242266236737
QAT,Qatar,81.857,88701.4689763536,2.18613315,43.141672,12.5,75.6630329481338
ROU,Romania,75.1536585365854,15503.551804598,5.79823256,34.039709,30.0,14.8501731264834
RUS,Russian Federation,72.5456097560976,15619.6142578125,6.8788662,24.19482,29.2,11.2727775886895
RWA,Rwanda,67.528,975.469323735369,5.92842579,4.9234815,14.3,31.2882654917538
WSM,Samoa,71.55,4132.44717734444,6.93412352,62.429392,22.5,12.5518952802963
STP,Sao Tome and Principe,69.237,2389.73729784737,5.7744813,16.455282,7.8,27.3357522767854
SEN,Senegal,67.788,1574.0281059306,4.0444808,10.207136,6.5,63.7402211262202
SRB,Serbia,75.2365853658537,10024.8191112596,8.58397198,22.507918,39.5,22.5075355689004
SYC,Seychelles,74.509756097561,16836.6721895387,4.39909697,29.361686,20.2,8.49983857722866
